"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","SUM_07","SUM_08","X","Y"
"361","2008","1120065","사당3동","2845.631","2265.929","197446.443","443274.999"
"362","2008","1120067","사당5동","1522.448","1261.346","196987.685","443046.842"
"324","2008","1118059","시흥3동","1957.567","1564.158","191747.068","437916.657"
"272","2008","1116071","방화2동","3036.135","3021.026","182826.453","453754.87"
"315","2008","1119075","도림동","2071.34","2032.802","191304.339","445500.911"
"307","2008","1119066","신길4동","1243.775","1005.97","192325.766","445341.301"
"308","2008","1119067","신길5동","1798.733","1465.139","191635.444","444611.001"
"309","2008","1119068","신길6동","2514.53","2098.825","192440.595","444336.383"
"310","2008","1119069","신길7동","2386.134","2043.267","192883.061","445343.677"
"312","2008","1119072","대림3동","3882.23","3206.298","191028.681","444520.256"
"333","2008","1120073","사당2동","3344.193","3144.536","197746.612","444321.265"
"334","2008","1121052","보라매동","3310.126","2745.741","194007.282","443463.458"
"313","2008","1119073","영등포본동","3085.643","2899.428","191898.2","445995.248"
"314","2008","1119074","영등포동","3978.344","3879.509","191977.53","447132.6"
"351","2008","1121083","미성동","4551.667","4150.359","192589.217","441644.963"
"353","2008","1122052","서초2동","4241.079","4324.721","202461.729","443293.446"
"354","2008","1122053","서초3동","6572.53","5388.405","200863.446","442912.533"
"326","2008","1118061","시흥5동","2574.706","2144.866","192215.181","438847.03"
"328","2008","1119055","당산1동","2912.094","2788.215","190906.372","447187.474"
"329","2008","1119056","당산2동","3591.495","3484.071","191486.792","448223.039"
"332","2008","1120066","사당4동","1409.723","1435.41","197392.462","442363.678"
"301","2008","1123066","도곡1동","3386.67","2779.173","203602.87","443332.918"
"303","2008","1124052","풍납2동","4969.426","4657.79","209733.947","447836.425"
"304","2008","1119062","양평2동","2520.888","2407.498","190692.367","448915.681"
"305","2008","1119063","신길1동","2268.796","1852.526","192917.39","445909.132"
"306","2008","1119065","신길3동","2259.193","1837.215","191569.02","445270.601"
"340","2008","1121064","서원동","3399.517","2740.309","194086.155","442301.543"
"404","2008","1124065","가락본동","4160.374","4130.472","211614.877","444099.164"
"346","2008","1121073","대학동","5498.761","4549.683","195609.539","439440.063"
"347","2008","1121078","은천동","3222.675","3035.825","194745.078","443077.456"
"348","2008","1121079","성현동","3131.185","2893.102","195639.647","443380.734"
"349","2008","1121080","청룡동","4523.304","4562.544","195081.165","442018.916"
