"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","SUM_07","SUM_08","X","Y"
"302","2008","1123073","일원1동","52.622083","32.57433","208026.839","443739.302"
"304","2008","1119062","양평2동","13.491754","13.008256","190692.367","448915.681"
"314","2008","1119072","대림3동","11.987524","11.581343","191898.2","445995.248"
"359","2008","1120063","사당1동","10.115252","10.040615","200141.252","444469.283"
"330","2008","1119061","양평1동","6.958469","7.209158","190430.571","446242.902"
"414","2008","1123052","논현1동","21.370754","21.215357","203181.696","446188.395"
"408","2008","1122061","방배본동","8.177839","8.184025","199063.499","441429.134"
"338","2008","1121062","인헌동","10.704892","10.663622","197929.147","440254.738"
"377","2008","1123065","역삼2동","15.804108","16.452803","204330.731","443175.446"
"436","2008","1125072","암사1동","11.814898","11.436108","212019.622","450168.107"
"383","2008","1123072","일원본동","8.024289","11.171962","207178.152","443859.614"
"399","2008","1124068","문정1동","5.785519","5.850864","209757.84","445285.048"
"356","2008","1122056","반포본동","0.944227","0.902703","201483.201","445086.137"
"328","2008","1119055","당산1동","10.379859","10.227708","190906.372","447187.474"
"343","2008","1121069","신림동","9.401928","9.563805","192788.668","440284.456"
"353","2008","1122052","서초2동","13.169142","15.284715","200863.446","442912.533"
"396","2008","1124064","삼전동","13.753536","13.539556","210065.824","445913.699"
"411","2008","1122065","방배4동","12.246777","12.355708","202096.054","441227.636"
"368","2008","1123055","압구정2동","6.082625","6.033543","204821.553","447449.989"
"375","2008","1123063","대치4동","18.124024","17.75343","203250.182","444496.053"
"270","2008","1116067","발산1동","7.98221","8.031642","184607.027","450101.154"
"272","2008","1116071","방화2동","9.234949","9.028087","182826.453","453754.87"
"274","2008","1116073","화곡1동","20.007434","19.991878","185978.11","448301.364"
"308","2008","1119066","신길4동","5.000796","4.83017","191635.444","444611.001"
"309","2008","1119067","신길5동","6.306207","6.192153","192440.595","444336.383"
"310","2008","1119068","신길6동","8.709352","8.621358","192883.061","445343.677"
"311","2008","1119069","신길7동","7.800808","7.690665","191572.632","443762.007"
"315","2008","1119073","영등포본동","8.925488","8.860709","191977.53","447132.6"
"316","2008","1119074","영등포동","17.890056","17.541683","191304.339","445500.911"
"317","2008","1119075","도림동","8.322635","8.149285","194567.437","445737.352"
"275","2008","1116074","우장산동","12.466002","13.01819","186011.435","450076.827"
"319","2008","1120053","상도1동","13.461366","13.478215","194837.894","444867.35"
"290","2008","1117068","오류2동","10.21843362","10.38343795","185378.999","442796.642"
"291","2008","1117069","수궁동","11.88914903","13.0353978","184558.927","444384.536"
"267","2008","1114071","연남동","8.41484","8.286135","190783.78","450807.413"
"367","2008","1123054","압구정1동","7.131148","7.116349","195620.27","445920.171"
"378","2008","1123067","도곡2동","6.171693","5.967999","205351.196","442314.695"
"385","2008","1123075","수서동","76.960833","102.61198","209153.533","441450.913"
"393","2008","1124061","송파1동","10.58757","10.441685","212837.22","450016.02"
