coord,addr,name
"[37.26277390267146,127.030098011688]",경기도 수원시 팔달구 인계동 1045 ,엔제리너스 홈플러스동수원TO점
"[37.26567932369932,127.00024008876426]",경기도 수원시 팔달구 매산로1가 18 ,엔제리너스 수원AK플라자점
"[37.264352631888755,127.03252425996504]",경기도 수원시 팔달구 인계동 1113 ,엔제리너스 수원인계점
"[37.27510442326873,127.04384287083947]",경기도 수원시 팔달구 우만동 81-2 ,엔제리너스 아주대삼거리점
"[37.27805001516085,127.03043201904026]",경기도 수원시 팔달구 인계동 952 ,엔제리너스 동수원신협점
"[37.21481373223157,126.9781528563859]",경기도 화성시 봉담읍 와우리 45-5 ,엔제리너스 수원대점
"[37.26708129439668,127.0019352850912]",경기도 수원시 팔달구 매산로1가 59-4 ,엔제리너스 수원매산점
"[37.27934332414019,127.04766833989405]",경기도 수원시 영통구 원천동 산26-6 ,엔제리너스 아주대병원점
"[37.26622673286306,126.99997354013679]",경기도 수원시 팔달구 매산로1가 18 ,엔제리너스 수원AK몰점
"[37.27955345467818,127.04802653883885]",경기도 수원시 영통구 원천동,엔제리너스커피아주대병원점
"[37.27807704481207,127.03043167233966]",경기도 수원시 팔달구 인계동,엔제리너스커피동수원신협점
"[37.26708157951124,127.00196910497542]",경기도 수원시 팔달구 매산로1가,엔제리너스커피수원매산점
"[37.262764892765176,127.03009812723073]",경기도 수원시 팔달구 인계동,엔제리너스홈플러스동수원점
"[37.409299480962616,127.26102171184466]",경기도 광주시 경안동 25-3 ,엔제리너스 광주경안터미널점
"[37.34952081971235,127.34174643848857]",경기도 광주시 곤지암읍 곤지암리 433-14 ,엔제리너스 곤지암점
"[37.349683133798415,127.34176759572031]",경기도 광주시 곤지암읍 곤지암리,엔제리너스커피곤지암점
"[37.40988571028998,127.2611063225741]",경기도 광주시 경안동,엔제리너스커피경기도광주경안터미널점
"[37.538827129438985,127.12751234430316]","서울특별시 강동구 천호동 453-24 2,3층",엔제리너스 천호로데오점
"[37.27750107901605,127.15263904219556]",경기도 용인시 기흥구 중동 832-1 ,엔제리너스 용인동백점
"[37.386887158857306,127.12468000128099]",경기도 성남시 분당구 서현동 249-2 ,엔제리너스 분당서현점
"[37.277578172738004,127.15082270293105]",경기도 용인시 기흥구 중동 833 ,엔제리너스 용인쥬네브점
"[37.27908713198093,127.44661272931128]",경기도 이천시 창전동 166-9 ,엔제리너스 이천로데오점
"[37.530098127094334,127.12294129382792]",서울특별시 강동구 성내동,엔제리너스커피강동구청점
"[37.60273757294585,127.14340311147808]",경기도 구리시 인창동 677 롯데백화점구리점 B1,엔제리너스 롯데백구리식품관점
"[37.612459561817175,127.14089036779447]",경기도 구리시 인창동 430 ,엔제리너스 롯데아울렛구리점
"[37.602632661557195,127.14384599439728]",경기도 구리시 인창동 677 롯데백화점구리점 8F,엔제리너스 롯데백구리식당가점
"[37.60269572924887,127.14384527162811]",경기도 구리시 인창동,엔제리너스커피롯데백구리식품관점
"[37.60272284040823,127.14385628606955]",경기도 구리시 인창동,엔제리너스커피롯데백구리식당가점
"[37.00791664076583,127.2693861507756]",경기도 안성시 대천동 127-1 1층,엔제리너스 안성점
"[37.02356110489914,127.48398613490039]",충청북도 음성군 삼성면 양덕리 산98-5 ,엔제리너스 음성휴게소상행점
"[36.942995234869116,127.19238442401584]",충청남도 천안시 서북구 입장면 가산리,엔제리너스커피입장휴게소서울방향점
"[37.60987448339419,126.72372545890504]",경기도 김포시 풍무동 38-1 홈플러스 김포풍무점 2층,엔제리너스 홈플러스김포풍무점
"[37.69957645471874,126.68421324763312]",경기도 파주시 문발동 495-122 ,엔제리너스 자유로휴게소TO점
"[37.71995092632796,126.69258666968396]",경기도 파주시 문발동 645 ,엔제리너스 파주아울렛점
"[37.71781054977845,126.69375851017536]",경기도 파주시 문발동 645 ,엔제리너스 롯데시네파주아울렛TO점
"[37.71795408771723,126.69207733878551]",경기도 파주시 문발동 645 ,엔제리너스 롯데프리미엄아울렛파주점 3층 B
"[37.71975727418119,126.69299840384734]",경기도 파주시 문발동,엔제리너스커피파주아울렛점
"[37.71960463857925,126.69304645577655]",경기도 파주시 문발동,엔제리너스커피파주아울렛2호점
"[37.719389071628704,126.69310695563748]",경기도 파주시 문발동,엔제리너스커피롯데시네파주아울렛T/O점
"[37.2915520711175,127.63556142420012]",경기도 여주시 홍문동 269 ,엔제리너스 여주홍문점
"[37.23855648141986,127.57071720965195]",경기도 여주시 가남읍 본두리 677 ,엔제리너스 여주휴게소점
"[37.24158334433969,127.6150181432746]",경기도 여주시 상거동 375 ,엔제리너스 여주375아울렛점
"[37.239778621460324,127.56978606904704]",경기도 여주시 가남읍 본두리,엔제리너스커피여주휴게소점
"[37.24262917315885,127.61518189365763]",경기도 여주시 상거동 375-54,엔제리너스375여주점
"[37.2432377466372,127.40147412905779]",경기도 이천시 호법면 단천리 864 ,엔제리너스 롯데이천아울렛3층점
"[37.24228220558691,127.39962194542366]",경기도 이천시 호법면 단천리 864 롯데프리미엄아울렛이천점 1F,엔제리너스 롯데이천아울렛1층점
"[37.51140278596228,127.09801507989022]",서울특별시 송파구 잠실동 40-1 ,엔제리너스 월드어드벤쳐점
"[37.51129406496135,127.09793720930975]",서울특별시 송파구 잠실동 40-1 롯데월드 스포츠 센터 1층 S-102호,엔제리너스 월드스포츠점
"[37.54046433435677,127.07047355115171]",서울특별시 광진구 화양동 6-1 동서빌딩 1층,엔제리너스 건대역점
"[37.51447785899219,127.10070420497364]",서울특별시 송파구 신천동 7-18 롯데캐슬골드 1층,엔제리너스 롯데캐슬잠실점
"[37.51446566799121,127.10741222349519]",서울특별시 송파구 방이동 22-5 ,엔제리너스 송파구청점
"[37.53858646757574,127.07229600739873]",서울특별시 광진구 자양동 227-7 건대스타시티내 2층 롯데시네마층 2-D,엔제리너스 롯데시네건대점
"[37.5072233490587,127.10175264520458]",서울특별시 송파구 석촌동 158-4 ,엔제리너스 석촌호수DI점
"[37.512250785983476,127.09932831091388]",서울특별시 송파구 잠실동 40-1 롯데백화점잠실점 11F,엔제리너스 롯데백잠실점
"[37.54016842138426,127.07180115150601]",서울특별시 광진구 화양동 4-12 건국대학교병원 1층,엔제리너스 건대병원점
"[37.571916236737515,127.07231290860082]",서울특별시 동대문구 장안동 368-1 1층,엔제리너스 바우하우스점
"[37.61011565489546,127.07746775674693]",서울특별시 중랑구 묵동 239-80 ,엔제리너스 르노묵동TO점
"[37.511249361957084,127.09798299237448]",서울특별시 송파구 잠실동 40-1 씨어터 1층,엔제리너스 잠실샤롯데점
