p_id,assist,goal,play,st
19980468,1,0,3,1
19980469,0,0,4,5
19980470,1,5,16,33
19980471,0,0,1,1
19980472,0,0,1,1
19980473,0,2,9,18
19980474,0,0,4,5
19980475,0,4,13,25
19980489,0,0,1,0
19980490,7,6,41,48
19980491,5,12,52,50
19980493,0,0,1,0
19980494,0,0,1,2
19980495,14,23,108,194
19980501,1,0,12,20
19980502,1,0,24,14
19980505,0,1,5,9
19980506,0,6,21,38
19980507,0,0,2,1
19980508,2,0,6,3
19980513,7,3,25,48
19980518,2,6,66,71
19980527,3,2,19,17
19980533,0,0,1,0
19980535,0,0,2,2
19980536,1,0,1,1
19980537,3,4,10,19
19980538,1,2,5,5
19980539,3,4,20,37
19980540,0,0,1,1
19980541,0,1,4,3
19980543,0,2,11,21
19980544,0,0,3,3
19980546,0,0,1,1
19980547,0,2,2,5
19980550,4,2,20,39
19980551,1,1,11,9
19980553,0,1,11,15
19980556,0,0,1,0
19980557,0,0,3,2
19980558,1,7,21,22
19980559,0,0,2,3
19980560,0,0,1,1
19980563,0,0,3,0
19980566,0,0,1,0
19980567,2,1,6,6
19980568,0,0,4,4
19980570,0,0,2,3
19980571,0,0,1,0
19980575,3,0,13,9
19980576,1,0,2,2
19980580,0,1,10,15
19980582,0,1,1,1
19980583,0,0,1,0
19980584,0,0,2,3
19980585,0,0,3,7
19980586,1,0,6,13
19980587,8,9,29,50
19980590,0,0,2,1
19980594,1,0,2,2
19980598,1,3,3,5
19980603,0,0,3,4
19980606,0,0,2,3
19980608,0,6,18,49
19980610,0,0,1,0
19980611,5,11,29,65
19980614,1,1,6,6
19980615,0,6,18,30
19980619,4,7,44,59
19980620,0,0,1,0
19980621,0,0,2,1
19980623,0,0,8,11
19980624,0,0,2,1
19980629,0,0,1,0
19980630,1,3,12,22
19980631,0,0,2,6
19980633,0,0,2,0
19980634,0,1,2,4
19980635,0,0,2,1
19980636,1,1,8,12
19980637,0,0,1,1
19980639,1,2,18,14
19980640,1,2,5,7
19980641,0,0,7,10
19980642,0,0,5,1
19980643,0,0,1,3
19980644,0,0,1,0
19980646,0,0,1,3
19980647,1,4,16,18
19980648,0,0,3,2
19980650,0,1,3,5
19980652,10,7,62,74
19980653,0,0,3,8
19980654,1,0,10,7
19980655,0,0,2,2
19980657,0,1,8,7
19980659,0,0,2,1
19980660,2,0,5,6
19980661,0,0,3,3
19980664,0,0,1,0
19980666,0,0,1,1
19980668,0,0,6,1
19980669,5,5,39,31
19980670,0,0,3,0
19980672,3,0,7,9
19980673,0,8,23,36
19980676,0,0,2,1
19980677,0,0,1,0
19980678,0,0,8,12
19980679,0,0,1,0
19980681,1,0,12,8
19980683,0,0,5,5
19980685,0,2,10,13
19980687,0,8,32,45
19980690,0,0,3,0
19980691,0,0,1,0
19980692,0,0,1,1
19980695,0,0,2,1
19980696,4,4,24,28
19980697,1,3,18,25
19980698,0,0,2,1
19980700,7,4,31,45
19980701,1,0,6,8
19980703,1,4,14,16
19980704,0,1,7,7
19980708,7,18,81,148
19980709,1,0,4,1
19980710,0,0,2,3
19980711,0,0,3,3
19980714,0,0,5,3
19980716,0,0,18,24
19980721,0,0,2,1
19980722,0,0,1,0
19980724,0,0,1,0
19980725,1,0,11,7
19980726,0,1,15,17
19980728,3,0,14,23
19980730,0,0,1,0
19980731,1,0,9,9
19980732,1,1,15,13
19980733,0,0,3,1
19980734,4,3,43,33
19980739,0,1,18,20
19980742,5,25,87,185
19980745,0,0,2,1
19980752,1,0,10,10
19980753,0,0,1,0
19980755,0,0,3,1
19980758,0,0,8,4
19980763,0,3,10,9
19980764,1,0,2,3
19980767,3,5,36,41
19980768,5,2,31,24
19980769,1,2,8,6
19980770,0,3,10,24
19980771,0,0,3,5
19980772,1,1,4,3
19980773,0,0,1,1
19980778,1,2,13,14
19980779,0,0,3,2
19980780,0,0,2,0
19980781,0,0,8,11
19980783,4,0,26,55
19980784,1,7,17,42
19980789,0,2,13,20
19980790,1,0,13,17
19980791,3,9,33,47
19980795,0,0,1,0
19980803,0,0,1,1
19980804,3,6,31,43
19980810,0,2,7,10
19980812,0,0,7,12
19980813,0,0,1,2
19980814,0,3,11,19
19980820,0,0,1,0
19980822,4,1,12,20
19980823,0,2,4,4
19980825,1,2,17,16
19980826,0,1,20,44
19980832,0,0,1,1
19980835,0,0,7,6
19980836,1,0,8,6
19980837,0,4,27,30
19980838,0,0,1,2
19980839,1,2,11,24
19980842,1,0,10,5
19980854,0,2,9,13
19980856,1,1,19,28
19980857,0,1,6,3
19980859,0,2,6,6
19980862,0,1,9,9
19980864,1,0,5,12
19990005,2,9,34,57
19990026,4,5,49,46
19990027,4,17,101,135
19990030,0,0,1,0
19990033,2,4,23,58
19990038,2,8,71,77
19990041,0,0,9,9
19990044,2,11,43,82
19990046,0,0,10,11
19990047,4,14,54,94
19990048,0,0,3,0
19990053,0,0,1,0
19990054,0,0,3,0
19990055,4,13,63,106
19990057,1,7,27,52
19990065,0,0,8,3
19990069,0,0,2,1
19990071,0,1,3,6
19990072,0,1,10,15
19990076,0,0,1,1
19990078,0,0,2,0
19990079,0,0,2,4
19990083,0,0,3,5
19990084,0,0,7,8
19990086,1,1,18,25
19990089,0,0,7,4
19990092,0,0,3,2
19990095,0,0,3,0
19990096,7,10,64,74
19990097,0,0,1,0
19990098,0,0,1,1
19990100,0,0,3,1
19990102,0,0,3,5
19990106,0,0,18,7
19990115,0,0,2,5
19990121,0,2,13,14
19990125,0,0,4,0
19990134,0,1,3,4
19990135,0,3,12,22
19990137,2,5,24,34
19990141,0,0,1,0
19990144,2,0,24,27
19990149,1,7,34,58
19990150,0,2,6,5
19990151,0,1,12,12
19990152,1,0,2,0
19990156,0,0,1,0
19990157,0,0,2,2
19990158,1,0,6,4
19990160,0,0,1,0
19990161,6,35,99,263
19990163,1,3,8,22
19990168,0,0,3,2
19990169,1,0,3,9
19990170,0,0,1,0
19990174,0,4,16,34
19990175,0,2,7,15
