coord,addr,name
"[37.31125296571815,126.83080457433222]",경기도 안산시 단원구 고잔동 771 ,이디야커피 안산광덕대로점
"[37.341843568620284,126.81626867557297]",경기도 안산시 단원구 선부동 1087-31 ,이디야커피 안산선부중앙점
"[37.30879709930638,126.81580556865195]",경기도 안산시 단원구 초지동 729 ,이디야커피 안산초지점
"[37.33320206984202,126.80815551525392]",경기도 안산시 단원구 선부동 1071-5 ,이디야커피 안산한도병원점
"[37.33148496501383,126.78638202797714]",경기도 안산시 단원구 신길동 1633 ,이디야커피 안산신길점
"[37.31721147538587,126.83745883845872]",경기도 안산시 단원구 고잔동 541 ,이디야커피 안산중앙점
"[37.3142861969883,126.83869972269459]",경기도 안산시 단원구 고잔동 729-3 천혜로데오프라자 1층,이디야 안산중앙역점
"[37.32108704637795,126.82751571859887]",경기도 안산시 단원구 고잔동 518 ,이디야커피 안산자유센터점
"[37.30309509109248,126.81327808899407]",경기도 안산시 단원구 초지동,이디야커피고잔이마트점
"[37.32628025238302,126.80174317336376]",경기도 안산시 단원구 원곡동,이디야커피안산원곡동점
"[37.3030028066648,126.81216284685563]",경기도 안산시 단원구 초지동 742-4 이마트고잔점 3F,이디야에스프레소 이마트고잔점
"[37.375880386994346,126.65484372207194]",인천광역시 연수구 송도동 190-2 글로벌캠퍼스푸르지오,이디야커피 송도글로벌캠퍼스점
"[37.30765909038805,126.85211259056614]",경기도 안산시 상록구 이동 716-3 ,이디야커피 안산한대앞역점
"[37.36905747015063,126.81198016572291]",경기도 시흥시 능곡동 737 ,이디야커피 시흥능곡점
"[37.35429349833929,126.72331377569648]",경기도 시흥시 정왕동 1861-2 ,이디야커피 시흥시화점
"[37.35115119062469,126.74288193128386]",경기도 시흥시 정왕동 2326-1 ,이디야커피 정왕역점
"[37.29778379227754,126.83463364796819]",경기도 안산시 상록구 사동,이디야커피한양대에리카점
"[37.29552055790352,126.83539039679438]",경기도 안산시 상록구 사동 1271 ,이디야커피 한양대에리카점
"[37.32672313084079,126.84445463168885]",경기도 안산시 상록구 성포동 593-10 ,이디야커피 안산성포동점
"[37.342645658741425,126.78517544097735]",경기도 시흥시 거모동 1770-10 ,이디야커피 시흥거모동점
"[37.36370479249193,126.72957760785903]",경기도 시흥시 정왕동 1882-1 ,이디야커피 시흥정왕동점
